team,p_r16,p_qf,p_sf,p_final,p_champ
Spain,1.0,1.0,0.7378,0.5481,0.2936
France,1.0,1.0,0.609,0.4034,0.2584
England,1.0,1.0,0.8462,0.3829,0.1366
Argentina,1.0,0.872,0.4801,0.2131,0.1229
Morocco,1.0,1.0,0.391,0.1883,0.0859
Colombia,1.0,0.717,0.4176,0.1389,0.0584
Belgium,1.0,1.0,0.2622,0.0808,0.0375
Norway,1.0,1.0,0.1538,0.0254,0.0032
Switzerland,1.0,0.283,0.0723,0.013,0.0019
Egypt,1.0,0.128,0.03,0.0061,0.0016
Cabo Verde,0.0,0.0,0.0,0.0,0.0
Australia,0.0,0.0,0.0,0.0,0.0
Austria,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0
Brazil,1.0,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0,0.0
Ecuador,0.0,0.0,0.0,0.0,0.0
Côte d'Ivoire,0.0,0.0,0.0,0.0,0.0
Czechia,0.0,0.0,0.0,0.0,0.0
Curaçao,0.0,0.0,0.0,0.0,0.0
Croatia,0.0,0.0,0.0,0.0,0.0
Congo DR,0.0,0.0,0.0,0.0,0.0
Canada,1.0,0.0,0.0,0.0,0.0
Haiti,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,0.0,0.0,0.0,0.0
IR Iran,0.0,0.0,0.0,0.0,0.0
Jordan,0.0,0.0,0.0,0.0,0.0
Japan,0.0,0.0,0.0,0.0,0.0
Mexico,1.0,0.0,0.0,0.0,0.0
Netherlands,0.0,0.0,0.0,0.0,0.0
Ghana,0.0,0.0,0.0,0.0,0.0
Germany,0.0,0.0,0.0,0.0,0.0
Panama,0.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0
Paraguay,1.0,0.0,0.0,0.0,0.0
Portugal,1.0,0.0,0.0,0.0,0.0
Scotland,0.0,0.0,0.0,0.0,0.0
Senegal,0.0,0.0,0.0,0.0,0.0
Qatar,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0
South Korea,0.0,0.0,0.0,0.0,0.0
South Africa,0.0,0.0,0.0,0.0,0.0
Sweden,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0
Türkiye,0.0,0.0,0.0,0.0,0.0
USA,1.0,0.0,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0,0.0,0.0
Uzbekistan,0.0,0.0,0.0,0.0,0.0
